date,team_1,team_1_goals,team_2_goals,team_2,team_1_1h_goals,team_2_1h_goals,team_1_2h_goals,team_2_2h_goals,team_1_yellow,team_2_yellow,team_1_red,team_2_red,team_1_1h_corners,team_2_1h_corners,team_1_2h_corners,team_2_2h_corners,team_1_match_corners,team_2_match_corners,team_1_total_corners,team_1_xg,team_2_xg,team_1_shots,team_2_shots,team_1_shots_on_target,team_2_shots_on_target,team_1_fouls,team_2_fouls
2026-07-06,USA,1.0,4.0,Belgium,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,3.0,5.0,8.0,0.63,2.01,7.0,15.0,2.0,7.0,11.0,9.0
2026-07-07,Argentina,3.0,2.0,Egypt,0.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,5.0,0.0,6.0,1.0,7.0,2.84,0.89,19.0,5.0,7.0,2.0,13.0,11.0
2026-07-07,Switzerland,,0.0,Colombia,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,4.0,2.0,0.0,3.0,7.0,10.0,0.39,1.09,7.0,15.0,2.0,3.0,22.0,21.0
2026-07-09,France,2.0,0.0,Morocco,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,4.0,5.0,5.0,10.0,3.69,0.14,22.0,5.0,8.0,1.0,10.0,13.0
2026-07-10,Spain,2.0,1.0,Belgium,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,2.0,1.0,5.0,1.0,6.0,2.1,0.37,17.0,5.0,8.0,2.0,13.0,18.0
2026-07-11,Norway,1.0,2.0,England,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,7.0,4.0,11.0,0.68,1.04,13.0,14.0,4.0,8.0,10.0,8.0
2026-07-11,Argentina,3.0,1.0,Switzerland,1.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,1.0,3.0,1.0,8.0,2.0,10.0,1.94,0.47,22.0,11.0,7.0,5.0,14.0,18.0
2026-07-14,France,0.0,2.0,Spain,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,4.0,0.0,7.0,1.0,8.0,0.3,1.63,10.0,10.0,3.0,2.0,11.0,12.0
2026-07-15,England,1.0,2.0,Argentina,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,6.0,7.0,0.53,1.84,5.0,15.0,2.0,5.0,11.0,15.0
2026-07-19,Spain,1.0,0.0,Argentina,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,7.0,1.0,9.0,4.0,13.0,2.29,0.22,20.0,2.0,12.0,0.0,21.0,25.0
